date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:44	25708/25708	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2011:55:01%20GMT	https://askbootstrap.com/preview/swiggi/home.html	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/home.html	(from )
11:59:45	117/117	---MCZ	200	added ('OK')	text/plain	etag:W/%22b9-662f52c4-1b917f1c0b1e9ac8;;;%22	https://askbootstrap.com/robots.txt		(from )
11:59:45	14717/14717	---M--	200	added ('OK')	image/png	etag:%22397d-662e4e2e-29f9e03feecf6198;;;%22	https://askbootstrap.com/preview/swiggi/img/fav.png	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/img/fav.png	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:45	1327/1327	---MCZ	200	added ('OK')	text/css	etag:W/%2252f-662e5bd6-652c75da9794703f;br%22	https://askbootstrap.com/preview/swiggi/vendor/slick/slick.min.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/vendor/slick/slick.min.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:45	2342/2342	---MCZ	200	added ('OK')	text/css	etag:W/%22926-662e5bd5-cec42bb0a6953591;br%22	https://askbootstrap.com/preview/swiggi/vendor/slick/slick-theme.min.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/vendor/slick/slick-theme.min.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:45	11447/11447	---MCZ	200	added ('OK')	text/css	etag:W/%223446-662e5be6-3770c9caab1a1932;br%22	https://askbootstrap.com/preview/swiggi/vendor/icons/feather.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/vendor/icons/feather.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:46	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%2227293-662e7593-c21b703c86aba734;br%22	https://askbootstrap.com/preview/swiggi/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/vendor/bootstrap/css/bootstrap.min.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:46	10664/10664	---MCZ	200	added ('OK')	text/css	etag:W/%223adb-662e4e1e-61e871036e1737f7;br%22	https://askbootstrap.com/preview/swiggi/css/style.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/css/style.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:46	19608/19608	---MCZ	200	added ('OK')	text/css	etag:W/%225745-662e5be2-263483be1ed6ed04;br%22	https://askbootstrap.com/preview/swiggi/vendor/sidebar/demo.css	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/vendor/sidebar/demo.css	(from https://askbootstrap.com/preview/swiggi/home.html)
11:59:47	15786/15786	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2011:55:04%20GMT	https://askbootstrap.com/preview/swiggi/trending.html	C:/My%20Web%20Sites/Web%20Ordering/askbootstrap.com/preview/swiggi/trending.html	(from https://askbootstrap.com/preview/swiggi/home.html)
